system   D            wsystem.c:583  maybe_parent_dir                 [   0.00126] Also searching C:\Users\Leonardo\Documents\Visual Studio 11\Projects\Projeto Final\
display  D   display_settings.c:486  _al_score_display_settings       [   0.04105] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04107] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04109] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04111] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04113] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04114] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04116] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04118] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04120] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04122] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04124] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04126] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04128] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04130] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04132] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04134] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04135] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04137] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04139] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04141] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04143] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04145] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04147] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04149] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04151] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04153] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04155] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04156] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04158] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.04160] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04162] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04164] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04166] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04168] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04170] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04172] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04174] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04176] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04178] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04180] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04182] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04184] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04186] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04188] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04190] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04192] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04194] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04196] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04198] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04200] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04202] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04204] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04206] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04208] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04210] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04212] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04214] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04216] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04218] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04220] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04222] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04224] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04226] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04228] Single Buffer requirement not met.
